mode,workers,episodes,sampling_time_s,learning_time_s,total_time_s,finished_at_ts,finished_at,tb_log_dir
A,1,5000,111.6924188,99.61787677,217.4859006,1758724995,2025-09-24 23:43,runs\tb\A_w1
A,5,5000,64.74514675,58.0326674,124.466089,1758725120,2025-09-24 23:45,runs\tb\A_w5
B,1,5000,44.88636947,54.32080531,103.0324309,1758725224,2025-09-24 23:47,runs\tb\B_w1
B,5,5000,14.1071682,30.10654521,45.33907366,1758725269,2025-09-24 23:47,runs\tb\B_w5
C,1,5000,46.14838433,119.1037161,171.7210965,1758725441,2025-09-24 23:50,runs\tb\C_w1
C,5,5000,13.88843131,55.13897276,70.8503046,1758725512,2025-09-24 23:51,runs\tb\C_w5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Simulation Location,Actor Location,Learner Location,Sampling Time(s),Learning Time(s),Total Time(s),,
Worker 1개,CPU,GPU,GPU,111.6924188,99.61787677,217.4859006,,
Worker 5개,,,,64.74514675,58.0326674,124.466089,,
Worker 1개,CPU,CPU,CPU,44.88636947,54.32080531,103.0324309,,
Worker 5개,,,,14.1071682,30.10654521,45.33907366,,
Worker 1개,CPU,CPU,GPU,46.14838433,119.1037161,171.7210965,,
Worker 5개,,,,13.88843131,55.13897276,70.8503046,,
,,,,42.03263978,41.74472566,42.77050207,,
,,,,68.5713762,44.57640118,55.99533732,,
,,,,69.90483738,53.70507777,58.74105975,,
,,,,,,,,
,,,,,,,,
,,,,78.2112345,,,,
,,,,\,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Simulation,Actor,Learner,,,
,,Process 1개,CPU,GPU,GPU,,,
,,Process 5개,,,,,,
,,Process 1개,CPU,CPU,CPU,,,
,,Process 5개,,,,,,
,,Process 1개,CPU,CPU,GPU,,,
,,Worker 5개,,,,,,
